image_id,label,image_path,parent_id,pixel_bounds
patch-231-2442-264-2475-#map_189244470.png#.png,no_boundary,./patches_50_meters/patch-231-2442-264-2475-#map_189244470.png#.png,map_189244470.png,"(231, 2442, 264, 2475)"
patch-858-627-891-660-#map_189244470.png#.png,boundary,./patches_50_meters/patch-858-627-891-660-#map_189244470.png#.png,map_189244470.png,"(858, 627, 891, 660)"
patch-858-2970-891-3003-#map_189244470.png#.png,no_boundary,./patches_50_meters/patch-858-2970-891-3003-#map_189244470.png#.png,map_189244470.png,"(858, 2970, 891, 3003)"
patch-1023-2244-1056-2277-#map_189244470.png#.png,no_boundary,./patches_50_meters/patch-1023-2244-1056-2277-#map_189244470.png#.png,map_189244470.png,"(1023, 2244, 1056, 2277)"
patch-1056-2310-1089-2343-#map_189244470.png#.png,boundary,./patches_50_meters/patch-1056-2310-1089-2343-#map_189244470.png#.png,map_189244470.png,"(1056, 2310, 1089, 2343)"
patch-1155-3102-1188-3135-#map_189244470.png#.png,no_boundary,./patches_50_meters/patch-1155-3102-1188-3135-#map_189244470.png#.png,map_189244470.png,"(1155, 3102, 1188, 3135)"
patch-1188-3003-1221-3036-#map_189244470.png#.png,boundary,./patches_50_meters/patch-1188-3003-1221-3036-#map_189244470.png#.png,map_189244470.png,"(1188, 3003, 1221, 3036)"
patch-1782-924-1815-957-#map_189244470.png#.png,no_boundary,./patches_50_meters/patch-1782-924-1815-957-#map_189244470.png#.png,map_189244470.png,"(1782, 924, 1815, 957)"
patch-2013-1452-2046-1485-#map_189244470.png#.png,boundary,./patches_50_meters/patch-2013-1452-2046-1485-#map_189244470.png#.png,map_189244470.png,"(2013, 1452, 2046, 1485)"
patch-2046-132-2079-165-#map_189244470.png#.png,no_boundary,./patches_50_meters/patch-2046-132-2079-165-#map_189244470.png#.png,map_189244470.png,"(2046, 132, 2079, 165)"
patch-2376-2640-2409-2673-#map_189244470.png#.png,no_boundary,./patches_50_meters/patch-2376-2640-2409-2673-#map_189244470.png#.png,map_189244470.png,"(2376, 2640, 2409, 2673)"
